"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"103",20.89,0.85,0.68,0.96,0.08,0.03,0.15
"104",21.08,0.85,0.68,0.96,0.08,0.03,0.15
"105",21.26,0.85,0.68,0.96,0.08,0.03,0.15
"106",21.45,0.85,0.68,0.96,0.08,0.03,0.15
"107",21.63,0.85,0.68,0.96,0.08,0.03,0.15
"108",21.82,0.85,0.68,0.96,0.08,0.03,0.15
"109",22.01,0.85,0.68,0.96,0.08,0.03,0.15
"110",22.19,0.85,0.68,0.96,0.08,0.03,0.15
"111",22.38,0.85,0.68,0.96,0.08,0.03,0.15
"112",22.56,0.85,0.67,0.96,0.08,0.03,0.15
"113",22.75,0.85,0.67,0.96,0.08,0.03,0.15
"114",22.93,0.85,0.67,0.96,0.08,0.03,0.15
"115",23.12,0.85,0.67,0.96,0.08,0.03,0.15
"116",23.3,0.85,0.67,0.96,0.08,0.03,0.15
"117",23.49,0.85,0.67,0.96,0.08,0.03,0.15
"118",23.67,0.85,0.67,0.96,0.08,0.03,0.15
"119",23.86,0.85,0.67,0.96,0.08,0.03,0.15
"120",24.04,0.85,0.67,0.96,0.08,0.03,0.15
"121",24.23,0.85,0.67,0.96,0.08,0.03,0.15
"122",24.41,0.85,0.67,0.96,0.08,0.03,0.15
"123",24.6,0.84,0.67,0.96,0.08,0.03,0.15
"124",24.78,0.84,0.67,0.96,0.08,0.03,0.15
"125",24.97,0.84,0.67,0.96,0.08,0.03,0.15
"126",25.15,0.84,0.67,0.96,0.08,0.03,0.15
"127",25.34,0.84,0.67,0.96,0.08,0.03,0.15
"128",25.52,0.84,0.67,0.96,0.08,0.03,0.15
"129",25.71,0.84,0.67,0.96,0.08,0.03,0.15
"130",25.89,0.84,0.67,0.95,0.08,0.03,0.14
"131",26.08,0.84,0.67,0.95,0.08,0.03,0.14
"132",26.27,0.84,0.67,0.95,0.08,0.03,0.14
"133",26.45,0.84,0.67,0.95,0.08,0.03,0.14
"134",26.64,0.84,0.67,0.95,0.08,0.03,0.14
"135",26.82,0.84,0.67,0.95,0.08,0.03,0.14
"136",27.01,0.84,0.67,0.95,0.08,0.03,0.14
"137",27.19,0.84,0.67,0.95,0.08,0.03,0.14
"138",27.38,0.84,0.67,0.95,0.08,0.03,0.14
"139",27.56,0.84,0.67,0.95,0.08,0.03,0.14
"140",27.75,0.84,0.67,0.95,0.08,0.03,0.14
"141",27.93,0.84,0.67,0.95,0.07,0.03,0.14
"142",28.12,0.84,0.67,0.95,0.07,0.03,0.14
"143",28.3,0.84,0.67,0.95,0.07,0.03,0.14
"144",28.49,0.84,0.66,0.95,0.07,0.03,0.14
"145",28.67,0.84,0.66,0.95,0.07,0.03,0.14
"146",28.86,0.84,0.66,0.95,0.07,0.03,0.14
"147",29.04,0.84,0.66,0.95,0.07,0.03,0.14
"148",29.23,0.84,0.66,0.95,0.07,0.03,0.14
"149",29.41,0.84,0.66,0.95,0.07,0.03,0.14
"150",29.6,0.84,0.66,0.95,0.07,0.03,0.14
"151",29.78,0.84,0.66,0.95,0.07,0.03,0.14
"152",29.97,0.84,0.66,0.95,0.07,0.03,0.14
"153",30.16,0.84,0.66,0.95,0.07,0.03,0.14
"154",30.34,0.84,0.66,0.95,0.07,0.03,0.14
"155",30.53,0.84,0.66,0.95,0.07,0.03,0.14
"156",30.71,0.84,0.66,0.95,0.07,0.03,0.14
"157",30.9,0.84,0.66,0.95,0.07,0.03,0.14
"158",31.08,0.84,0.66,0.95,0.07,0.03,0.14
"159",31.27,0.84,0.66,0.95,0.07,0.03,0.14
"160",31.45,0.84,0.66,0.95,0.07,0.03,0.14
"161",31.64,0.84,0.66,0.95,0.07,0.03,0.14
"162",31.82,0.83,0.66,0.95,0.07,0.03,0.14
"163",32.01,0.83,0.66,0.95,0.07,0.03,0.14
"164",32.19,0.83,0.66,0.95,0.07,0.03,0.13
"165",32.38,0.83,0.66,0.95,0.07,0.03,0.13
"166",32.56,0.83,0.66,0.95,0.07,0.03,0.13
"167",32.75,0.83,0.66,0.95,0.07,0.03,0.13
"168",32.93,0.83,0.66,0.95,0.07,0.03,0.13
"169",33.12,0.83,0.66,0.95,0.07,0.03,0.13
"170",33.3,0.83,0.66,0.95,0.07,0.03,0.13
"171",33.49,0.83,0.66,0.95,0.07,0.03,0.13
"172",33.67,0.83,0.66,0.95,0.07,0.03,0.13
"173",33.86,0.83,0.66,0.95,0.07,0.03,0.13
"174",34.05,0.83,0.66,0.95,0.07,0.03,0.13
"175",34.23,0.83,0.66,0.95,0.07,0.03,0.13
"176",34.42,0.83,0.66,0.95,0.07,0.03,0.13
"177",34.6,0.83,0.66,0.95,0.07,0.03,0.13
"178",34.79,0.83,0.66,0.95,0.07,0.03,0.13
"179",34.97,0.83,0.66,0.95,0.07,0.03,0.13
"180",35.16,0.83,0.66,0.95,0.07,0.02,0.13
"181",35.34,0.83,0.66,0.95,0.07,0.02,0.13
"182",35.53,0.83,0.66,0.95,0.07,0.02,0.13
"183",35.71,0.83,0.65,0.95,0.07,0.02,0.13
"184",35.9,0.83,0.65,0.95,0.07,0.02,0.13
"185",36.08,0.83,0.65,0.95,0.07,0.02,0.13
"186",36.27,0.83,0.65,0.95,0.07,0.02,0.13
"187",36.45,0.83,0.65,0.95,0.07,0.02,0.13
"188",36.64,0.83,0.65,0.95,0.07,0.02,0.13
"189",36.82,0.83,0.65,0.95,0.07,0.02,0.13
"190",37.01,0.83,0.65,0.95,0.07,0.02,0.13
"191",37.19,0.83,0.65,0.95,0.07,0.02,0.13
"192",37.38,0.83,0.65,0.95,0.07,0.02,0.13
"193",37.56,0.83,0.65,0.95,0.07,0.02,0.13
"194",37.75,0.83,0.65,0.95,0.07,0.02,0.13
"195",37.93,0.83,0.65,0.95,0.07,0.02,0.13
"196",38.12,0.83,0.65,0.94,0.07,0.02,0.13
"197",38.31,0.83,0.65,0.94,0.07,0.02,0.13
"198",38.49,0.83,0.65,0.94,0.07,0.02,0.13
"199",38.68,0.83,0.65,0.94,0.07,0.02,0.13
"200",38.86,0.83,0.65,0.94,0.06,0.02,0.13
"201",39.05,0.83,0.65,0.94,0.06,0.02,0.13
"202",39.23,0.83,0.65,0.94,0.06,0.02,0.13
"203",39.42,0.83,0.65,0.94,0.06,0.02,0.13
"204",39.6,0.83,0.65,0.94,0.06,0.02,0.13
"205",39.79,0.83,0.65,0.94,0.06,0.02,0.13
"206",39.97,0.83,0.65,0.94,0.06,0.02,0.13
"207",40.16,0.83,0.65,0.94,0.06,0.02,0.13
"208",40.34,0.83,0.65,0.94,0.06,0.02,0.13
"209",40.53,0.82,0.65,0.94,0.06,0.02,0.13
"210",40.71,0.82,0.65,0.94,0.06,0.02,0.13
"211",40.9,0.82,0.65,0.94,0.06,0.02,0.12
"212",41.08,0.82,0.65,0.94,0.06,0.02,0.12
"213",41.27,0.82,0.65,0.94,0.06,0.02,0.12
"214",41.45,0.82,0.65,0.94,0.06,0.02,0.12
"215",41.64,0.82,0.65,0.94,0.06,0.02,0.12
"216",41.82,0.82,0.65,0.94,0.06,0.02,0.12
"217",42.01,0.82,0.65,0.94,0.06,0.02,0.12
"218",42.2,0.82,0.65,0.94,0.06,0.02,0.12
"219",42.38,0.82,0.65,0.94,0.06,0.02,0.12
"220",42.57,0.82,0.65,0.94,0.06,0.02,0.12
"221",42.75,0.82,0.65,0.94,0.06,0.02,0.12
"222",42.94,0.82,0.65,0.94,0.06,0.02,0.12
"223",43.12,0.82,0.65,0.94,0.06,0.02,0.12
"224",43.31,0.82,0.65,0.94,0.06,0.02,0.12
"225",43.49,0.82,0.65,0.94,0.06,0.02,0.12
"226",43.68,0.82,0.64,0.94,0.06,0.02,0.12
"227",43.86,0.82,0.64,0.94,0.06,0.02,0.12
"228",44.05,0.82,0.64,0.94,0.06,0.02,0.12
"229",44.23,0.82,0.64,0.94,0.06,0.02,0.12
"230",44.42,0.82,0.64,0.94,0.06,0.02,0.12
"231",44.6,0.82,0.64,0.94,0.06,0.02,0.12
"232",44.79,0.82,0.64,0.94,0.06,0.02,0.12
"233",44.97,0.82,0.64,0.94,0.06,0.02,0.12
"234",45.16,0.82,0.64,0.94,0.06,0.02,0.12
"235",45.34,0.82,0.64,0.94,0.06,0.02,0.12
"236",45.53,0.82,0.64,0.94,0.06,0.02,0.12
"237",45.71,0.82,0.64,0.94,0.06,0.02,0.12
"238",45.9,0.82,0.64,0.94,0.06,0.02,0.12
"239",46.09,0.82,0.64,0.94,0.06,0.02,0.12
"240",46.27,0.82,0.64,0.94,0.06,0.02,0.12
"241",46.46,0.82,0.64,0.94,0.06,0.02,0.12
"242",46.64,0.82,0.64,0.94,0.06,0.02,0.12
"243",46.83,0.82,0.64,0.94,0.06,0.02,0.12
"244",47.01,0.82,0.64,0.94,0.06,0.02,0.12
"245",47.2,0.82,0.64,0.94,0.06,0.02,0.12
"246",47.38,0.82,0.64,0.94,0.06,0.02,0.12
"247",47.57,0.82,0.64,0.94,0.06,0.02,0.12
"248",47.75,0.82,0.64,0.94,0.06,0.02,0.12
"249",47.94,0.82,0.64,0.94,0.06,0.02,0.12
"250",48.12,0.82,0.64,0.94,0.06,0.02,0.12
"251",48.31,0.82,0.64,0.94,0.06,0.02,0.12
"252",48.49,0.82,0.64,0.94,0.06,0.02,0.12
"253",48.68,0.82,0.64,0.94,0.06,0.02,0.12
"254",48.86,0.82,0.64,0.94,0.06,0.02,0.12
"255",49.05,0.82,0.64,0.94,0.06,0.02,0.12
"256",49.23,0.82,0.64,0.94,0.06,0.02,0.12
"257",49.42,0.82,0.64,0.94,0.06,0.02,0.12
"258",49.6,0.82,0.64,0.94,0.06,0.02,0.12
"259",49.79,0.82,0.64,0.94,0.06,0.02,0.12
"260",49.97,0.82,0.64,0.94,0.06,0.02,0.12
"261",50.16,0.82,0.64,0.94,0.06,0.02,0.12
"262",50.35,0.82,0.64,0.94,0.06,0.02,0.12
"263",50.53,0.82,0.64,0.94,0.06,0.02,0.12
"264",50.72,0.81,0.64,0.94,0.06,0.02,0.12
"265",50.9,0.81,0.64,0.94,0.06,0.02,0.12
"266",51.09,0.81,0.64,0.94,0.06,0.02,0.12
"267",51.27,0.81,0.64,0.94,0.06,0.02,0.12
"268",51.46,0.81,0.64,0.94,0.06,0.02,0.12
"269",51.64,0.81,0.64,0.94,0.06,0.02,0.12
"270",51.83,0.81,0.64,0.94,0.06,0.02,0.12
"271",52.01,0.81,0.64,0.94,0.06,0.02,0.12
"272",52.2,0.81,0.64,0.94,0.06,0.02,0.12
"273",52.38,0.81,0.64,0.94,0.06,0.02,0.12
"274",52.57,0.81,0.63,0.94,0.06,0.02,0.11
"275",52.75,0.81,0.63,0.94,0.06,0.02,0.11
"276",52.94,0.81,0.63,0.94,0.06,0.02,0.11
"277",53.12,0.81,0.63,0.94,0.06,0.02,0.11
"278",53.31,0.81,0.63,0.94,0.06,0.02,0.11
"279",53.49,0.81,0.63,0.94,0.06,0.02,0.11
"280",53.68,0.81,0.63,0.94,0.06,0.02,0.11
"281",53.86,0.81,0.63,0.94,0.06,0.02,0.11
"282",54.05,0.81,0.63,0.94,0.06,0.02,0.11
"283",54.24,0.81,0.63,0.94,0.06,0.02,0.11
"284",54.42,0.81,0.63,0.94,0.06,0.02,0.11
"285",54.61,0.81,0.63,0.94,0.06,0.02,0.11
"286",54.79,0.81,0.63,0.94,0.06,0.02,0.11
"287",54.98,0.81,0.63,0.94,0.06,0.02,0.11
"288",55.16,0.81,0.63,0.94,0.06,0.02,0.11
