"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"117",23.49,0.7,0.48,1,0.08,0,0.33
"118",23.67,0.7,0.48,1,0.08,0,0.33
"119",23.86,0.7,0.48,1,0.08,0,0.33
"120",24.04,0.7,0.48,1,0.08,0,0.33
"121",24.23,0.7,0.48,1,0.08,0,0.33
"122",24.41,0.7,0.48,1,0.08,0,0.33
"123",24.6,0.7,0.48,1,0.08,0,0.33
"124",24.78,0.7,0.48,1,0.08,0,0.33
"125",24.97,0.7,0.48,1,0.08,0,0.33
"126",25.15,0.7,0.48,1,0.08,0,0.33
"127",25.34,0.69,0.47,1,0.08,0,0.33
"128",25.52,0.69,0.47,1,0.08,0,0.33
"129",25.71,0.69,0.47,1,0.08,0,0.33
"130",25.89,0.69,0.47,1,0.08,0,0.33
"131",26.08,0.69,0.47,1,0.08,0,0.33
"132",26.27,0.69,0.47,1,0.08,0,0.33
"133",26.45,0.69,0.47,1,0.08,0,0.33
"134",26.64,0.69,0.47,1,0.08,0,0.33
"135",26.82,0.69,0.47,1,0.08,0,0.33
"136",27.01,0.69,0.47,1,0.08,0,0.33
"137",27.19,0.69,0.47,1,0.08,0,0.33
"138",27.38,0.69,0.47,1,0.07,0,0.32
"139",27.56,0.69,0.47,1,0.07,0,0.32
"140",27.75,0.69,0.47,1,0.07,0,0.32
"141",27.93,0.69,0.47,1,0.07,0,0.32
"142",28.12,0.69,0.46,1,0.07,0,0.32
"143",28.3,0.69,0.46,1,0.07,0,0.32
"144",28.49,0.69,0.46,1,0.07,0,0.32
"145",28.67,0.69,0.46,1,0.07,0,0.32
"146",28.86,0.69,0.46,1,0.07,0,0.32
"147",29.04,0.69,0.46,1,0.07,0,0.32
"148",29.23,0.69,0.46,1,0.07,0,0.32
"149",29.41,0.69,0.46,1,0.07,0,0.32
"150",29.6,0.69,0.46,1,0.07,0,0.32
"151",29.78,0.69,0.46,1,0.07,0,0.32
"152",29.97,0.68,0.46,1,0.07,0,0.32
"153",30.16,0.68,0.46,1,0.07,0,0.32
"154",30.34,0.68,0.46,1,0.07,0,0.32
"155",30.53,0.68,0.46,1,0.07,0,0.32
"156",30.71,0.68,0.46,1,0.07,0,0.32
"157",30.9,0.68,0.46,1,0.07,0,0.32
"158",31.08,0.68,0.45,1,0.07,0,0.32
"159",31.27,0.68,0.45,1,0.07,0,0.32
"160",31.45,0.68,0.45,1,0.07,0,0.32
"161",31.64,0.68,0.45,1,0.07,0,0.32
"162",31.82,0.68,0.45,1,0.07,0,0.32
"163",32.01,0.68,0.45,1,0.07,0,0.32
"164",32.19,0.68,0.45,1,0.07,0,0.32
"165",32.38,0.68,0.45,1,0.07,0,0.32
"166",32.56,0.68,0.45,1,0.07,0,0.32
"167",32.75,0.68,0.45,1,0.07,0,0.32
"168",32.93,0.68,0.45,1,0.07,0,0.32
"169",33.12,0.68,0.45,1,0.07,0,0.32
"170",33.3,0.68,0.45,1,0.07,0,0.32
"171",33.49,0.68,0.44,1,0.07,0,0.32
"172",33.67,0.68,0.44,1,0.07,0,0.32
"173",33.86,0.68,0.44,1,0.07,0,0.32
"174",34.05,0.68,0.44,1,0.07,0,0.32
"175",34.23,0.68,0.44,1,0.07,0,0.32
"176",34.42,0.68,0.44,1,0.07,0,0.31
"177",34.6,0.68,0.44,1,0.07,0,0.31
"178",34.79,0.68,0.44,1,0.07,0,0.31
"179",34.97,0.68,0.44,1,0.07,0,0.31
